"Antal arbetslösa 15-74 år (AKU), 1000-tal efter arbetskraftstillhörighet, kön, ålder och år"

"arbetskraftstillhörighet","kön","ålder","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"arbetslösa","män","totalt 15-74 år",147.6,153.6,170.2,186.6,195.0,173.4,150.1,152.8,223.3,227.5,207.1,218.4,220.5,223.0,206.4,203.2,196.5,184.7,193.2,245.5,252.1,209.9,224.6,247.2,268.5
"arbetslösa","kvinnor","totalt 15-74 år",126.9,127.6,140.4,162.9,176.0,166.6,150.9,155.1,188.6,200.5,186.3,187.5,193.4,191.3,183.4,167.3,166.3,164.4,184.3,220.6,240.7,211.3,214.9,233.2,241.9
"arbetslösa","totalt","totalt 15-74 år",274.5,281.3,310.7,349.6,371.1,340.0,301.0,307.9,411.8,428.0,393.4,405.8,413.9,414.3,389.8,370.6,362.8,349.1,377.5,466.1,492.8,421.1,439.6,480.4,510.4
"heltidsstuderande av arbetslösa ","män","totalt 15-74 år",34.7,39.7,32.8,35.4,45.2,39.4,36.2,37.2,46.3,64.3,60.7,63.4,69.3,69.1,63.7,62.3,64.4,60.7,64.1,71.5,78.3,69.8,80.5,79.9,86.8
"heltidsstuderande av arbetslösa ","kvinnor","totalt 15-74 år",32.8,35.2,28.7,34.4,49.2,48.7,43.3,44.3,52.5,65.2,60.3,62.7,68.6,66.3,63.2,54.5,56.0,56.3,67.2,70.5,89.9,81.9,83.1,84.8,87.5
"heltidsstuderande av arbetslösa ","totalt","totalt 15-74 år",67.5,74.9,61.5,69.8,94.4,88.1,79.5,81.5,98.8,129.4,121.0,126.1,137.8,135.4,126.8,116.9,120.4,116.9,131.3,142.0,168.2,151.7,163.7,164.7,174.3
