"Sysselsatta 15-74 år, 1000-tal efter anknytningsgrad till arbetsmarknaden, typ av data, kön, ålder och år"

"anknytningsgrad till arbetsmarknaden","typ av data","kön","ålder","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"sysselsatta totalt","icke säsongrensad","män","totalt 15-74 år",2256.2,2259.7,2251.5,2245.4,2265.4,2316.0,2375.5,2406.4,2343.1,2378.2,2423.2,2427.2,2450.6,2486.3,2513.6,2544.4,2611.3,2649.8,2676.5,2649.5,2671.0,2751.7,2772.4,2744.1,2752.6
"sysselsatta totalt","icke säsongrensad","kvinnor","totalt 15-74 år",2057.0,2067.3,2064.1,2052.0,2046.5,2079.8,2132.5,2154.1,2121.2,2111.8,2170.0,2199.2,2221.3,2254.0,2289.5,2329.9,2373.5,2408.8,2415.7,2361.1,2372.9,2447.3,2497.6,2497.3,2510.3
"sysselsatta totalt","icke säsongrensad","totalt","totalt 15-74 år",4313.3,4327.0,4315.7,4297.4,4312.0,4395.9,4508.0,4560.5,4464.3,4489.9,4593.2,4626.4,4671.9,4740.3,4803.1,4874.4,4984.8,5058.6,5092.2,5010.6,5043.9,5199.0,5270.1,5241.3,5263.0
